"var","hr","pval","hr_ci95"
"tnm_stageII",1.3,"5.06e-01","0.6 to 3"
"tnm_stageIII",2.3,"3.62e-02","1.1 to 5"
"tnm_stageIV",3.6,"8.40e-03","1.4 to 9.2"
"CASP8_mut",1.3,"3.98e-01","0.7 to 2.4"
"age.cat>=65",1.3,"2.54e-01","0.8 to 2"
"gendermale",1,"9.33e-01","0.6 to 1.5"
"tnm_stageII",1.3,"5.37e-01","0.6 to 2.9"
"tnm_stageIII",2.4,"2.69e-02","1.1 to 5.2"
"tnm_stageIV",3.7,"6.25e-03","1.5 to 9.6"
"CTLA4_cna",0.8,"4.27e-01","0.6 to 1.3"
"age.cat>=65",1.3,"2.18e-01","0.8 to 2.1"
"gendermale",1,"9.69e-01","0.6 to 1.6"
"tnm_stageII",1.3,"5.18e-01","0.6 to 2.9"
"tnm_stageIII",2.3,"3.29e-02","1.1 to 5.1"
"tnm_stageIV",3.6,"8.16e-03","1.4 to 9.3"
"DNER_cna",0.8,"3.28e-01","0.5 to 1.2"
"age.cat>=65",1.3,"2.34e-01","0.8 to 2"
"gendermale",1,"9.55e-01","0.6 to 1.5"
"tnm_stageII",1.3,"5.09e-01","0.6 to 2.9"
"tnm_stageIII",2.3,"3.28e-02","1.1 to 5.1"
"tnm_stageIV",3.7,"6.21e-03","1.5 to 9.6"
"DNER_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",1.3,"2.00e-01","0.9 to 2.1"
"gendermale",1,"8.91e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.59e-01","0.6 to 3"
"tnm_stageIII",2.5,"2.17e-02","1.1 to 5.4"
"tnm_stageIV",3.8,"5.61e-03","1.5 to 9.8"
"PDCD1_cna",1.2,"4.14e-01","0.8 to 1.7"
"age.cat>=65",1.3,"2.21e-01","0.8 to 2"
"gendermale",1,"8.42e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.44e-01","0.6 to 3.1"
"tnm_stageIII",2.6,"1.86e-02","1.2 to 5.6"
"tnm_stageIV",3.8,"6.00e-03","1.5 to 9.7"
"PDCD1_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",1.3,"2.44e-01","0.8 to 2"
"gendermale",1,"8.95e-01","0.6 to 1.5"
"tnm_stageII",1.3,"5.20e-01","0.6 to 2.9"
"tnm_stageIII",2.4,"2.75e-02","1.1 to 5.2"
"tnm_stageIV",3.7,"6.82e-03","1.4 to 9.5"
"SLC22A14_cna",0.8,"2.27e-01","0.6 to 1.1"
"age.cat>=65",1.3,"2.18e-01","0.8 to 2.1"
"gendermale",1,"8.87e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.91e-01","0.6 to 3"
"tnm_stageIII",2.5,"2.26e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"6.11e-03","1.5 to 9.7"
"PIK3CA_cna",1.1,"7.18e-01","0.8 to 1.4"
"age.cat>=65",1.3,"2.30e-01","0.8 to 2"
"gendermale",1,"8.76e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.99e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.70e-02","1.1 to 5.2"
"tnm_stageIV",3.8,"5.78e-03","1.5 to 9.7"
"PIK3CA_mut",0.7,"6.77e-01","0.1 to 3.6"
"age.cat>=65",1.3,"2.58e-01","0.8 to 2"
"gendermale",1,"8.76e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.85e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.40e-02","1.1 to 5.3"
"tnm_stageIV",3.7,"6.24e-03","1.5 to 9.6"
"CXCL9_cna",1.1,"5.58e-01","0.8 to 1.7"
"age.cat>=65",1.3,"2.18e-01","0.8 to 2.1"
"gendermale",1,"8.45e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.55e-01","0.6 to 3.1"
"tnm_stageIII",2.5,"2.06e-02","1.2 to 5.5"
"tnm_stageIV",4,"4.97e-03","1.5 to 10.7"
"CXCL10_cna",1.1,"5.58e-01","0.8 to 1.7"
"age.cat>=65",1.3,"2.18e-01","0.8 to 2.1"
"gendermale",1,"8.45e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.55e-01","0.6 to 3.1"
"tnm_stageIII",2.5,"2.06e-02","1.2 to 5.5"
"tnm_stageIV",4,"4.97e-03","1.5 to 10.7"
"CXCL11_cna",1.1,"5.58e-01","0.8 to 1.7"
"age.cat>=65",1.3,"2.18e-01","0.8 to 2.1"
"gendermale",1,"8.45e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.55e-01","0.6 to 3.1"
"tnm_stageIII",2.5,"2.06e-02","1.2 to 5.5"
"tnm_stageIV",4,"4.97e-03","1.5 to 10.7"
"TET2_cna",1.1,"6.64e-01","0.7 to 1.6"
"age.cat>=65",1.3,"2.26e-01","0.8 to 2"
"gendermale",1,"8.61e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.70e-01","0.6 to 3"
"tnm_stageIII",2.5,"2.25e-02","1.1 to 5.4"
"tnm_stageIV",3.9,"5.39e-03","1.5 to 10.1"
"TET2_mut",0.9,"7.72e-01","0.3 to 2.2"
"age.cat>=65",1.3,"2.28e-01","0.8 to 2"
"gendermale",1,"9.14e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.71e-01","0.6 to 3.1"
"tnm_stageIII",2.5,"2.34e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"5.93e-03","1.5 to 9.7"
"IL2_cna",1,"9.74e-01","0.7 to 1.5"
"age.cat>=65",1.3,"2.36e-01","0.8 to 2"
"gendermale",1,"8.95e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.95e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.49e-02","1.1 to 5.3"
"tnm_stageIV",3.7,"6.60e-03","1.4 to 9.7"
"IRF1_cna",1.2,"3.35e-01","0.8 to 1.7"
"age.cat>=65",1.3,"2.35e-01","0.8 to 2"
"gendermale",1,"8.96e-01","0.6 to 1.5"
"tnm_stageII",1.3,"5.38e-01","0.6 to 2.9"
"tnm_stageIII",2.4,"2.89e-02","1.1 to 5.1"
"tnm_stageIV",3.5,"1.07e-02","1.3 to 9"
"IRF1_mut",0,"9.94e-01","0 to Inf"
"age.cat>=65",1.3,"2.56e-01","0.8 to 2"
"gendermale",1,"9.26e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.73e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.49e-02","1.1 to 5.2"
"tnm_stageIV",3.8,"5.70e-03","1.5 to 9.7"
"HAVCR2_cna",1,"9.35e-01","0.7 to 1.5"
"age.cat>=65",1.3,"2.34e-01","0.8 to 2"
"gendermale",1,"8.92e-01","0.6 to 1.5"
"tnm_stageII",1.3,"5.03e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.62e-02","1.1 to 5.3"
"tnm_stageIV",3.7,"6.51e-03","1.4 to 9.7"
"TAP1_cna",1.2,"2.36e-01","0.9 to 1.8"
"age.cat>=65",1.3,"3.08e-01","0.8 to 2"
"gendermale",1,"9.00e-01","0.6 to 1.5"
"tnm_stageII",1.3,"5.39e-01","0.6 to 2.9"
"tnm_stageIII",2.4,"2.72e-02","1.1 to 5.2"
"tnm_stageIV",3.7,"6.20e-03","1.5 to 9.6"
"TAP1_mut",1,"9.77e-01","0.6 to 1.8"
"age.cat>=65",1.3,"2.36e-01","0.8 to 2"
"gendermale",1,"8.87e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.93e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.50e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"6.01e-03","1.5 to 9.7"
"IFNGR1_cna",0.7,"8.35e-02","0.5 to 1"
