"var","hr","pval","hr_ci95"
"tnm_stageII",1.7,"6.12e-01","0.2 to 13.1"
"tnm_stageIII",1.6,"5.91e-01","0.3 to 9.9"
"tnm_stageIV",6.3,"4.30e-02","1.1 to 36.9"
"SLC22A14_cna",0.8,"8.31e-01","0.1 to 7.4"
"age.cat>=65",16.6,"1.09e-04","4 to 69"
"gendermale",1.1,"8.55e-01","0.3 to 4"
"tnm_stageII",1.9,"5.49e-01","0.2 to 15"
"tnm_stageIII",1.8,"5.39e-01","0.3 to 10.9"
"tnm_stageIV",6.7,"4.18e-02","1.1 to 41.4"
"PIK3CA_cna",1.3,"9.51e-01","0 to 5086.8"
"age.cat>=65",16.1,"1.15e-04","3.9 to 66.4"
"gendermale",1.2,"8.13e-01","0.3 to 4"
"tnm_stageII",1.9,"5.41e-01","0.2 to 15.2"
"tnm_stageIII",1.8,"5.33e-01","0.3 to 11"
"tnm_stageIV",6.4,"4.18e-02","1.1 to 37.7"
"PIK3CA_mut",0,"9.99e-01","0 to Inf"
"age.cat>=65",16.2,"1.08e-04","4 to 66.1"
"gendermale",1.2,"8.15e-01","0.3 to 4"
"tnm_stageII",1.9,"5.45e-01","0.2 to 15"
"tnm_stageIII",1.8,"5.37e-01","0.3 to 11"
"tnm_stageIV",6.3,"4.24e-02","1.1 to 37.4"
"CXCL9_cna",0.8,"9.51e-01","0 to 4061"
"age.cat>=65",16.2,"1.10e-04","3.9 to 66.4"
"gendermale",1.2,"8.14e-01","0.3 to 4"
"tnm_stageII",1.9,"5.41e-01","0.2 to 15.3"
"tnm_stageIII",1.8,"5.33e-01","0.3 to 11.1"
"tnm_stageIV",6.4,"4.20e-02","1.1 to 37.8"
"CXCL10_cna",0.8,"9.51e-01","0 to 4061"
"age.cat>=65",16.2,"1.10e-04","3.9 to 66.4"
"gendermale",1.2,"8.14e-01","0.3 to 4"
"tnm_stageII",1.9,"5.41e-01","0.2 to 15.3"
"tnm_stageIII",1.8,"5.33e-01","0.3 to 11.1"
"tnm_stageIV",6.4,"4.20e-02","1.1 to 37.8"
"CXCL11_cna",0.8,"9.51e-01","0 to 4061"
"age.cat>=65",16.2,"1.10e-04","3.9 to 66.4"
"gendermale",1.2,"8.14e-01","0.3 to 4"
"tnm_stageII",1.9,"5.41e-01","0.2 to 15.3"
"tnm_stageIII",1.8,"5.33e-01","0.3 to 11.1"
"tnm_stageIV",6.4,"4.20e-02","1.1 to 37.8"
"TET2_cna",0.8,"9.51e-01","0 to 4061"
"age.cat>=65",16.2,"1.10e-04","3.9 to 66.4"
"gendermale",1.2,"8.14e-01","0.3 to 4"
"tnm_stageII",1.9,"5.41e-01","0.2 to 15.3"
"tnm_stageIII",1.8,"5.33e-01","0.3 to 11.1"
"tnm_stageIV",6.4,"4.20e-02","1.1 to 37.8"
"IL2_cna",0.8,"9.51e-01","0 to 4061"
"age.cat>=65",16.2,"1.10e-04","3.9 to 66.4"
"gendermale",1.2,"8.14e-01","0.3 to 4"
"tnm_stageII",1.9,"5.41e-01","0.2 to 15.3"
"tnm_stageIII",1.8,"5.33e-01","0.3 to 11.1"
"tnm_stageIV",6.4,"4.20e-02","1.1 to 37.8"
"IRF1_cna",2,"5.37e-01","0.2 to 16.5"
"age.cat>=65",16.1,"1.21e-04","3.9 to 66.2"
"gendermale",1.2,"7.56e-01","0.3 to 4.3"
"tnm_stageII",1.9,"5.47e-01","0.2 to 15"
"tnm_stageIII",1.7,"5.85e-01","0.3 to 10.6"
"tnm_stageIV",6.4,"4.13e-02","1.1 to 38.3"
"HAVCR2_cna",1.3,"7.67e-01","0.2 to 8.2"
"age.cat>=65",16.6,"1.09e-04","4 to 68.8"
"gendermale",1.2,"7.85e-01","0.3 to 4.2"
"tnm_stageII",1.9,"5.50e-01","0.2 to 15"
"tnm_stageIII",1.7,"5.65e-01","0.3 to 10.9"
