"var","hr","pval","hr_ci95"
"TAP1_cna",0.8,"1.62e-02","0.6 to 1"
"age.cat>=65",1.6,"6.33e-03","1.1 to 2.3"
"TMB.cathigh",0.6,"3.01e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"5.41e-02","0.5 to 1"
"PDL1.cathigh",1.3,"2.88e-01","0.8 to 2"
"IFNGR1_cna",0.9,"5.46e-01","0.8 to 1.2"
"age.cat>=65",1.6,"1.15e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"9.88e-04","0.4 to 0.8"
"PDL1.catmed",0.7,"3.63e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.39e-01","0.8 to 1.9"
"MUC17_cna",1.1,"5.79e-01","0.9 to 1.3"
"age.cat>=65",1.5,"1.22e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.39e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.60e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.43e-01","0.8 to 1.9"
"MUC17_mut",1.5,"4.44e-01","0.5 to 4.1"
"age.cat>=65",1.5,"1.59e-02","1.1 to 2.1"
"TMB.cathigh",0.6,"1.12e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.34e-02","0.4 to 1"
"PDL1.cathigh",1.2,"5.06e-01","0.7 to 1.8"
"MET_cna",1,"8.44e-01","0.8 to 1.3"
"age.cat>=65",1.5,"1.31e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.18e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.32e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.58e-01","0.8 to 1.9"
"IDO1_cna",1.1,"3.75e-01","0.9 to 1.4"
"age.cat>=65",1.5,"1.25e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"8.44e-04","0.4 to 0.8"
"PDL1.catmed",0.6,"2.70e-02","0.4 to 1"
"PDL1.cathigh",1.2,"5.46e-01","0.7 to 1.8"
"JAK2_cna",1,"8.88e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.32e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.11e-03","0.4 to 0.8"
"PDL1.catmed",0.6,"3.49e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.91e-01","0.7 to 1.9"
"CD274_cna",1,"7.33e-01","0.9 to 1.2"
"age.cat>=65",1.5,"1.26e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.00e-03","0.4 to 0.8"
"PDL1.catmed",0.6,"3.19e-02","0.4 to 1"
"PDL1.cathigh",1.2,"5.25e-01","0.7 to 1.9"
"COL5A1_cna",1.1,"2.40e-01","0.9 to 1.4"
"age.cat>=65",1.5,"2.19e-02","1.1 to 2.1"
"TMB.cathigh",0.6,"3.88e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"4.38e-02","0.4 to 1"
"PDL1.cathigh",1.2,"3.76e-01","0.8 to 1.9"
"ARID5B_cna",1.1,"6.12e-01","0.8 to 1.4"
"age.cat>=65",1.5,"1.37e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.02e-03","0.4 to 0.8"
"PDL1.catmed",0.6,"3.18e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.94e-01","0.7 to 1.8"
"OVOL1_cna",1,"9.35e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.33e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.47e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.44e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.59e-01","0.8 to 1.9"
"LAG3_cna",1.2,"3.48e-02","1 to 1.5"
"age.cat>=65",1.4,"3.77e-02","1 to 2"
"TMB.cathigh",0.6,"1.89e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"4.58e-02","0.5 to 1"
"PDL1.cathigh",1.2,"3.58e-01","0.8 to 1.9"
"ARID2_cna",1,"8.54e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.31e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.06e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.32e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.63e-01","0.8 to 1.9"
"IFNG_cna",1.1,"6.80e-01","0.8 to 1.3"
"age.cat>=65",1.5,"1.54e-02","1.1 to 2.1"
"TMB.cathigh",0.6,"1.25e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.83e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.90e-01","0.7 to 1.8"
"TCP11L2_cna",1,"9.58e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.34e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.24e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.41e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.66e-01","0.8 to 1.9"
"B2M_cna",1.2,"2.91e-01","0.9 to 1.6"
"age.cat>=65",1.5,"2.33e-02","1.1 to 2.1"
"TMB.cathigh",0.6,"2.76e-03","0.4 to 0.8"
"PDL1.catmed",0.6,"2.68e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.16e-01","0.8 to 1.9"
"TP53_cna",0.8,"1.68e-01","0.7 to 1.1"
