"var","hr","pval","hr_ci95"
"tnm_stageI",0.8,"6.21e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.87e-01","0.1 to 1.6"
"tnm_stageII",1,"9.86e-01","0.4 to 2.8"
"tnm_stageIII",1.4,"4.93e-01","0.5 to 4"
"tnm_stageIV",2.3,"1.76e-01","0.7 to 7.8"
"FUBP1_cna",1.1,"3.63e-01","0.9 to 1.4"
"age.cat>=65",1.6,"6.20e-03","1.1 to 2.3"
"gendermale",1.2,"3.54e-01","0.8 to 1.6"
"tnm_stageI",0.8,"6.88e-01","0.3 to 2.3"
"tnm_stageI/II NOS",0.4,"1.90e-01","0.1 to 1.7"
"tnm_stageII",1.1,"8.99e-01","0.4 to 3"
"tnm_stageIII",1.5,"4.61e-01","0.5 to 4.1"
"tnm_stageIV",2.5,"1.50e-01","0.7 to 8.3"
"FUBP1_mut",0,"9.94e-01","0 to Inf"
"age.cat>=65",1.6,"7.62e-03","1.1 to 2.3"
"gendermale",1.2,"2.86e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.07e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.79e-01","0.1 to 1.6"
"tnm_stageII",1,"9.69e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.05e-01","0.5 to 3.9"
"tnm_stageIV",2.3,"1.72e-01","0.7 to 7.9"
"IL10_cna",0.8,"1.37e-01","0.7 to 1.1"
"age.cat>=65",1.6,"8.26e-03","1.1 to 2.3"
"gendermale",1.2,"3.20e-01","0.8 to 1.7"
"tnm_stageI",0.8,"6.70e-01","0.3 to 2.3"
"tnm_stageI/II NOS",0.4,"2.32e-01","0.1 to 1.8"
"tnm_stageII",1.1,"9.03e-01","0.4 to 3"
"tnm_stageIII",1.4,"4.93e-01","0.5 to 4"
"tnm_stageIV",2.5,"1.38e-01","0.7 to 8.5"
"IRF6_cna",0.8,"6.85e-02","0.6 to 1"
"age.cat>=65",1.6,"7.23e-03","1.1 to 2.3"
"gendermale",1.2,"2.72e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.68e-01","0.3 to 2.3"
"tnm_stageI/II NOS",0.4,"2.41e-01","0.1 to 1.8"
"tnm_stageII",1.1,"8.89e-01","0.4 to 3"
"tnm_stageIII",1.4,"5.01e-01","0.5 to 3.9"
"tnm_stageIV",2.5,"1.32e-01","0.8 to 8.6"
"IRF6_mut",0,"9.94e-01","0 to Inf"
"age.cat>=65",1.6,"5.40e-03","1.2 to 2.3"
"gendermale",1.2,"2.96e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.11e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.83e-01","0.1 to 1.6"
"tnm_stageII",1,"9.56e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.29e-01","0.5 to 3.8"
"tnm_stageIV",2.3,"1.74e-01","0.7 to 7.8"
"DNMT3A_cna",1,"8.65e-01","0.8 to 1.3"
"age.cat>=65",1.6,"6.08e-03","1.1 to 2.3"
"gendermale",1.2,"3.13e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.02e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.81e-01","0.1 to 1.6"
"tnm_stageII",1,"9.87e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.39e-01","0.5 to 3.8"
"tnm_stageIV",2.3,"1.80e-01","0.7 to 7.8"
"DNMT3A_mut",0,"9.93e-01","0 to Inf"
"age.cat>=65",1.6,"7.66e-03","1.1 to 2.3"
"gendermale",1.2,"2.82e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.09e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.80e-01","0.1 to 1.6"
"tnm_stageII",1,"9.66e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.00e-01","0.5 to 3.9"
"tnm_stageIV",2.3,"1.70e-01","0.7 to 7.9"
"SOS1_cna",1.1,"5.80e-01","0.8 to 1.4"
"age.cat>=65",1.6,"6.89e-03","1.1 to 2.3"
"gendermale",1.2,"3.19e-01","0.8 to 1.7"
"tnm_stageI",0.8,"6.40e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.84e-01","0.1 to 1.6"
"tnm_stageII",1,"9.37e-01","0.4 to 3"
"tnm_stageIII",1.4,"4.99e-01","0.5 to 4"
"tnm_stageIV",2.4,"1.60e-01","0.7 to 8.1"
"CASP8_cna",1,"7.46e-01","0.7 to 1.2"
"age.cat>=65",1.6,"6.19e-03","1.1 to 2.3"
"gendermale",1.2,"3.14e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.08e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.81e-01","0.1 to 1.6"
"tnm_stageII",1,"9.81e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.28e-01","0.5 to 3.8"
"tnm_stageIV",2.3,"1.78e-01","0.7 to 7.8"
"CASP8_mut",0.9,"9.01e-01","0.3 to 2.8"
"age.cat>=65",1.6,"6.36e-03","1.1 to 2.3"
"gendermale",1.2,"3.16e-01","0.8 to 1.7"
"tnm_stageI",0.8,"6.15e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.82e-01","0.1 to 1.6"
"tnm_stageII",1,"9.74e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.26e-01","0.5 to 3.9"
"tnm_stageIV",2.3,"1.73e-01","0.7 to 7.8"
"CTLA4_cna",0.9,"6.72e-01","0.7 to 1.2"
"age.cat>=65",1.6,"6.25e-03","1.1 to 2.3"
"gendermale",1.2,"3.14e-01","0.9 to 1.7"
