"var","hr","pval","hr_ci95"
"age.cat>=65",4.2,"1.96e-03","1.7 to 10.3"
"TMB.cathigh",0.7,"3.09e-01","0.4 to 1.4"
"PDL1.catmed",0.7,"4.28e-01","0.3 to 1.6"
"PDL1.cathigh",0.6,"3.43e-01","0.2 to 1.6"
"HAVCR2_cna",0.6,"6.96e-02","0.3 to 1"
"age.cat>=65",3.8,"4.00e-03","1.5 to 9.3"
"TMB.cathigh",0.7,"3.68e-01","0.4 to 1.4"
"PDL1.catmed",0.7,"3.98e-01","0.3 to 1.6"
"PDL1.cathigh",0.7,"3.91e-01","0.3 to 1.7"
"TAP1_cna",1.5,"8.72e-02","0.9 to 2.4"
"age.cat>=65",3.4,"6.06e-03","1.4 to 8.3"
"TMB.cathigh",0.8,"4.09e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.90e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.33e-01","0.3 to 1.9"
"TAP1_mut",0,"9.96e-01","0 to Inf"
"age.cat>=65",2.9,"1.60e-02","1.2 to 6.7"
"TMB.cathigh",0.8,"5.55e-01","0.4 to 1.6"
"PDL1.catmed",0.8,"6.72e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.04e-01","0.3 to 1.9"
"IFNGR1_cna",1.5,"4.55e-02","1 to 2.4"
"age.cat>=65",3.2,"9.03e-03","1.3 to 7.5"
"TMB.cathigh",0.7,"2.58e-01","0.3 to 1.3"
"PDL1.catmed",0.8,"5.64e-01","0.3 to 1.8"
"PDL1.cathigh",0.7,"4.56e-01","0.3 to 1.8"
"IFNGR1_mut",0.8,"6.20e-01","0.3 to 2.1"
"age.cat>=65",2.9,"1.60e-02","1.2 to 6.8"
"TMB.cathigh",0.8,"5.49e-01","0.4 to 1.6"
"PDL1.catmed",0.8,"6.53e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"4.91e-01","0.3 to 1.8"
"MUC17_cna",0.6,"8.54e-02","0.4 to 1.1"
"age.cat>=65",3.2,"7.15e-03","1.4 to 7.5"
"TMB.cathigh",0.8,"4.87e-01","0.4 to 1.5"
"PDL1.catmed",0.7,"4.48e-01","0.3 to 1.7"
"PDL1.cathigh",0.7,"4.26e-01","0.3 to 1.8"
"MUC17_mut",1.2,"5.15e-01","0.7 to 2.2"
"age.cat>=65",3.1,"1.11e-02","1.3 to 7.3"
"TMB.cathigh",0.8,"4.40e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.13e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.70e-01","0.3 to 1.8"
"MET_cna",0.8,"2.42e-01","0.5 to 1.2"
"age.cat>=65",2.9,"1.52e-02","1.2 to 6.9"
"TMB.cathigh",0.8,"5.17e-01","0.4 to 1.6"
"PDL1.catmed",0.8,"5.65e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"3.95e-01","0.2 to 1.7"
"IDO1_cna",0.9,"8.37e-01","0.6 to 1.6"
"age.cat>=65",3,"1.36e-02","1.3 to 7.2"
"TMB.cathigh",0.8,"4.79e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.38e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.98e-01","0.3 to 1.9"
"IDO1_mut",0,"9.97e-01","0 to Inf"
