"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"GZMA.cat=high",109,67,1.4,"1.1 to 1.6","0.78 (0.7 to 0.87)","0.64 (0.55 to 0.74)","0.34 (0.25 to 0.46)","0.20 (0.11 to 0.33)"
"GZMA.cat=low",109,34,5.6,"4.1 to 10.9","0.95 (0.91 to 0.99)","0.93 (0.88 to 0.98)","0.81 (0.73 to 0.9)","0.57 (0.44 to 0.74)"
"GZMA.cat=med",214,89,3.8,"2.9 to 4.3","0.92 (0.88 to 0.96)","0.83 (0.77 to 0.88)","0.64 (0.56 to 0.71)","0.38 (0.29 to 0.49)"
"PRF1.cat=high",109,73,1.1,"1 to 1.5","0.78 (0.7 to 0.86)","0.57 (0.48 to 0.68)","0.29 (0.2 to 0.4)","0.12 (0.06 to 0.27)"
"PRF1.cat=low",109,25,6.7,"4.2 to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.88 (0.81 to 0.96)","0.58 (0.44 to 0.78)"
"PRF1.cat=med",214,92,3.2,"2.6 to 5.2","0.91 (0.87 to 0.95)","0.83 (0.78 to 0.89)","0.63 (0.55 to 0.71)","0.41 (0.32 to 0.52)"
"cyt.cat=high",109,74,1.2,"1 to 1.5","0.77 (0.69 to 0.85)","0.59 (0.5 to 0.7)","0.27 (0.19 to 0.39)","0.15 (0.08 to 0.28)"
"cyt.cat=low",109,28,6.7,"4.8 to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.86 (0.78 to 0.94)","0.60 (0.46 to 0.77)"
"cyt.cat=med",214,88,3.9,"2.9 to 5.2","0.91 (0.87 to 0.95)","0.83 (0.77 to 0.88)","0.65 (0.58 to 0.73)","0.39 (0.3 to 0.51)"
"nmdptc_max.cat=high",108,45,2.9,"2.1 to 7.3","0.86 (0.8 to 0.94)","0.84 (0.77 to 0.92)","0.64 (0.54 to 0.76)","0.46 (0.35 to 0.62)"
"nmdptc_max.cat=low",109,42,4.2,"2 to 12.9","0.91 (0.85 to 0.97)","0.80 (0.72 to 0.89)","0.59 (0.49 to 0.72)","0.43 (0.31 to 0.6)"
"nmdptc_max.cat=med",215,103,3.1,"2.1 to 4","0.90 (0.86 to 0.94)","0.79 (0.73 to 0.85)","0.59 (0.52 to 0.67)","0.31 (0.23 to 0.43)"
"nmdptc_n_decayed.cat=high",143,67,2.4,"1.5 to 7.9","0.82 (0.75 to 0.89)","0.74 (0.67 to 0.82)","0.54 (0.46 to 0.64)","0.45 (0.36 to 0.57)"
"nmdptc_n_decayed.cat=low",197,81,4,"3.3 to 5.2","0.93 (0.89 to 0.97)","0.84 (0.79 to 0.9)","0.66 (0.59 to 0.74)","0.39 (0.3 to 0.52)"
"nmdptc_n_decayed.cat=med",92,42,2.8,"1.6 to 3.9","0.93 (0.88 to 0.99)","0.82 (0.73 to 0.91)","0.57 (0.46 to 0.71)","0.26 (0.15 to 0.45)"
"nmdptc_frac_decayed.cat=high",173,61,5.3,"3.9 to 7.9","0.91 (0.87 to 0.96)","0.86 (0.81 to 0.92)","0.74 (0.67 to 0.82)","0.52 (0.41 to 0.65)"
"nmdptc_frac_decayed.cat=low",108,48,3.4,"1.7 to 5.2","0.93 (0.88 to 0.98)","0.80 (0.72 to 0.88)","0.57 (0.47 to 0.69)","0.33 (0.22 to 0.51)"
"nmdptc_frac_decayed.cat=med",151,81,1.8,"1.5 to 2.4","0.84 (0.78 to 0.9)","0.73 (0.66 to 0.82)","0.46 (0.37 to 0.56)","0.26 (0.18 to 0.38)"
"nmdptc_med.cat=high",109,47,3.9,"2.8 to 7.3","0.86 (0.79 to 0.93)","0.81 (0.74 to 0.9)","0.65 (0.56 to 0.76)","0.41 (0.29 to 0.58)"
"nmdptc_med.cat=low",108,52,3.1,"1.7 to 4.3","0.90 (0.84 to 0.96)","0.80 (0.72 to 0.88)","0.54 (0.44 to 0.67)","0.32 (0.22 to 0.48)"
