"var","hr","pval","hr_ci95"
"tnm_stageIII",1.5,"1.78e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.57e-01","0.3 to 5.8"
"CXCL9_cna",1,"7.95e-01","0.8 to 1.4"
"age.cat>=65",1.3,"3.46e-01","0.8 to 2.1"
"gendermale",1.6,"7.31e-02","1 to 2.7"
"tnm_stageII",1.1,"7.03e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.86e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.80e-01","0.3 to 5.7"
"CXCL10_cna",1,"7.95e-01","0.8 to 1.4"
"age.cat>=65",1.3,"3.46e-01","0.8 to 2.1"
"gendermale",1.6,"7.31e-02","1 to 2.7"
"tnm_stageII",1.1,"7.03e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.86e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.80e-01","0.3 to 5.7"
"CXCL11_cna",1,"7.95e-01","0.8 to 1.4"
"age.cat>=65",1.3,"3.46e-01","0.8 to 2.1"
"gendermale",1.6,"7.31e-02","1 to 2.7"
"tnm_stageII",1.1,"7.03e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.86e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.80e-01","0.3 to 5.7"
"TET2_cna",1,"9.09e-01","0.7 to 1.5"
"age.cat>=65",1.3,"3.48e-01","0.8 to 2.2"
"gendermale",1.6,"7.58e-02","1 to 2.7"
"tnm_stageII",1.1,"6.90e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.74e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.69e-01","0.3 to 5.8"
"TET2_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",1.3,"3.09e-01","0.8 to 2.2"
"gendermale",1.6,"9.25e-02","0.9 to 2.6"
"tnm_stageII",1.1,"6.86e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.78e-01","0.8 to 2.6"
"tnm_stageIV",1.3,"6.83e-01","0.3 to 5.6"
"IL2_cna",1.1,"6.82e-01","0.8 to 1.5"
"age.cat>=65",1.3,"3.51e-01","0.8 to 2.1"
"gendermale",1.6,"7.72e-02","1 to 2.7"
"tnm_stageII",1.1,"7.29e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.76e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.65e-01","0.3 to 5.8"
"IRF1_cna",1.1,"8.06e-01","0.7 to 1.6"
"age.cat>=65",1.3,"3.27e-01","0.8 to 2.1"
"gendermale",1.6,"8.02e-02","0.9 to 2.7"
"tnm_stageII",1.1,"6.62e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.61e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.61e-01","0.3 to 5.8"
"HAVCR2_cna",1.3,"2.43e-01","0.9 to 1.8"
"age.cat>=65",1.3,"3.22e-01","0.8 to 2.1"
"gendermale",1.6,"8.79e-02","0.9 to 2.6"
"tnm_stageII",1.1,"6.94e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.67e-01","0.8 to 2.7"
"tnm_stageIV",1.5,"6.10e-01","0.3 to 6.1"
"TAP1_cna",1.2,"1.60e-01","0.9 to 1.7"
"age.cat>=65",1.3,"2.93e-01","0.8 to 2.2"
"gendermale",1.6,"6.85e-02","1 to 2.7"
"tnm_stageII",1.2,"5.57e-01","0.7 to 2.1"
"tnm_stageIII",1.5,"1.57e-01","0.9 to 2.7"
"tnm_stageIV",1.4,"6.66e-01","0.3 to 5.7"
"IFNGR1_cna",1.1,"7.64e-01","0.8 to 1.5"
"age.cat>=65",1.3,"3.21e-01","0.8 to 2.1"
"gendermale",1.6,"7.12e-02","1 to 2.7"
"tnm_stageII",1.2,"6.26e-01","0.6 to 2.1"
"tnm_stageIII",1.5,"1.62e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.80e-01","0.3 to 5.7"
"MUC17_cna",0.7,"4.72e-02","0.5 to 1"
"age.cat>=65",1.3,"3.19e-01","0.8 to 2.1"
"gendermale",1.6,"6.08e-02","1 to 2.8"
"tnm_stageII",1.2,"5.01e-01","0.7 to 2.2"
"tnm_stageIII",1.6,"1.31e-01","0.9 to 2.8"
"tnm_stageIV",1.7,"4.90e-01","0.4 to 7.1"
"MUC17_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",1.3,"3.33e-01","0.8 to 2.1"
"gendermale",1.6,"7.39e-02","1 to 2.7"
"tnm_stageII",1.1,"6.67e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.59e-01","0.9 to 2.7"
"tnm_stageIV",1.4,"6.75e-01","0.3 to 5.7"
"MET_cna",0.8,"8.86e-02","0.6 to 1"
"age.cat>=65",1.3,"2.61e-01","0.8 to 2.2"
"gendermale",1.7,"5.36e-02","1 to 2.8"
"tnm_stageII",1.2,"5.07e-01","0.7 to 2.2"
"tnm_stageIII",1.6,"1.04e-01","0.9 to 2.9"
"tnm_stageIV",1.6,"5.00e-01","0.4 to 7"
"MET_mut",2.3,"4.17e-01","0.3 to 17.7"
"age.cat>=65",1.3,"3.37e-01","0.8 to 2.1"
"gendermale",1.6,"6.34e-02","1 to 2.8"
"tnm_stageII",1.2,"6.36e-01","0.6 to 2.1"
"tnm_stageIII",1.5,"1.55e-01","0.9 to 2.7"
"tnm_stageIV",1.4,"6.67e-01","0.3 to 5.7"
"IDO1_cna",0.9,"5.02e-01","0.8 to 1.2"
"age.cat>=65",1.3,"3.02e-01","0.8 to 2.2"
"gendermale",1.6,"7.70e-02","1 to 2.7"
"tnm_stageII",1.1,"6.57e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.52e-01","0.9 to 2.7"
"tnm_stageIV",1.4,"6.59e-01","0.3 to 5.8"
"JAK2_cna",0.8,"8.07e-02","0.6 to 1"
"age.cat>=65",1.3,"3.14e-01","0.8 to 2.2"
"gendermale",1.6,"7.82e-02","0.9 to 2.7"
"tnm_stageII",1.1,"7.62e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.51e-01","0.9 to 2.7"
"tnm_stageIV",1.2,"8.09e-01","0.3 to 5"
"JAK2_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",1.3,"3.09e-01","0.8 to 2.2"
"gendermale",1.6,"9.25e-02","0.9 to 2.6"
"tnm_stageII",1.1,"6.86e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.78e-01","0.8 to 2.6"
"tnm_stageIV",1.3,"6.83e-01","0.3 to 5.6"
