"var","hr","pval","hr_ci95"
"tnm_stageIII",4.5,"4.95e-02","1 to 20.1"
"tnm_stageIV",11.7,"1.21e-03","2.6 to 51.9"
"CASP8_cna",0.9,"8.20e-01","0.4 to 2"
"age.cat>=65",1.7,"2.25e-01","0.7 to 3.9"
"gendermale",0.7,"2.13e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.07e-01","0.6 to 12.2"
"tnm_stageIII",4.5,"5.00e-02","1 to 20.1"
"tnm_stageIV",11.7,"1.22e-03","2.6 to 51.7"
"CASP8_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",1.7,"2.06e-01","0.7 to 3.9"
"gendermale",0.7,"2.23e-01","0.3 to 1.3"
"tnm_stageII",2.8,"1.79e-01","0.6 to 13"
"tnm_stageIII",4.6,"4.74e-02","1 to 20.4"
"tnm_stageIV",11.7,"1.22e-03","2.6 to 51.7"
"CTLA4_cna",0.9,"8.20e-01","0.4 to 2"
"age.cat>=65",1.7,"2.25e-01","0.7 to 3.9"
"gendermale",0.7,"2.13e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.07e-01","0.6 to 12.2"
"tnm_stageIII",4.5,"5.00e-02","1 to 20.1"
"tnm_stageIV",11.7,"1.22e-03","2.6 to 51.7"
"DNER_cna",1.3,"4.36e-01","0.7 to 2.4"
"age.cat>=65",1.8,"1.69e-01","0.8 to 4.2"
"gendermale",0.6,"1.78e-01","0.3 to 1.2"
"tnm_stageII",2.7,"1.95e-01","0.6 to 12.5"
"tnm_stageIII",4.5,"4.93e-02","1 to 20.2"
"tnm_stageIV",12.1,"1.06e-03","2.7 to 53.5"
"DNER_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",1.7,"2.00e-01","0.8 to 3.9"
"gendermale",0.7,"2.32e-01","0.3 to 1.3"
"tnm_stageII",2.8,"1.88e-01","0.6 to 12.7"
"tnm_stageIII",4.5,"4.92e-02","1 to 20.2"
"tnm_stageIV",11.6,"1.24e-03","2.6 to 51.6"
"PDCD1_cna",1.2,"5.06e-01","0.7 to 2.3"
"age.cat>=65",1.8,"1.83e-01","0.8 to 4.1"
